State,Voters,Vote(1:Trump 0:Clinton)
Alabama,3670229,1
Alaska,531845,1
Arizona,4801062,1
Arkansas,2193217,1
California,25197798,0
Colorado,3979278,0
Connecticut,2602785,0
Delaware,705209,0
District of Columbia,513470,0
Florida,14732562,1
Georgia,7241281,1
Hawaii,1018631,0
Idaho,1191262,1
Illinois,9038458,0
Indiana,4867305,1
Iowa,2320932,1
Kansas,2077911,1
Kentucky,3342304,1
Louisiana,3466716,1
Maine,1056891,0
Maryland,4260093,0
Massachusetts,4948041,0
Michigan,7453953,1
Minnesota,4036966,0
Mississippi,2233124,1
Missouri,4584987,1
Montana,804235,1
Nebraska,1354457,1
Nevada,1976423,0
New Hampshire,1043880,0
New Jersey,6127545,0
New Mexico,1481858,0
New York,13702460,0
North Carolina,7418127,1
North Dakota,570697,1
Ohio,8785985,1
Oklahoma,2821838,1
Oregon,3021486,0
Pennsylvania,9740121,1
Rhode Island,787945,0
South Carolina,3731331,1
South Dakota,635373,1
Tennessee,4968677,1
Texas,17841560,1
Utah,1983374,1
Vermont,494736,0
Virginia,6093779,0
Washington,5173515,0
West Virginia,1438443,1
Wisconsin,4351720,1
Wyoming,433794,1
Puerto Rico,2672253,0
